Место,Дата,Номер,Продукт,Категория,Цена,Количество
Тупичок,2019-10-18,538210433,Мусорные пакеты,Дом,9050,2
Тупичок,2019-10-18,538210433,Яйца,Еда,5950,3
Тупичок,2019-10-18,538210433,Бумага туалетная,Дом,7000,2
Тупичок,2019-10-18,538210433,Бумага,Работа,7750,2
Тупичок,2019-10-18,538210433,Гвозди,Дом,5000,2
Тупичок,2019-10-18,538210433,Чернила,Работа,2200,2
Тупичок,2019-10-18,538210433,Яйца,Еда,5950,1
Тупичок,2019-10-18,538210433,Яйца,Еда,5950,1
Трамвай,2019-10-18,55421577,Черешня,Вкусняшки,15000,2
Трамвай,2019-10-18,55421577,Яблоки,Еда,6550,1
Трамвай,2019-10-18,55421577,Гвозди,Дом,5000,3
Трамвай,2019-10-18,55421577,Чернила,Работа,2200,1
Трамвай,2019-10-18,55421577,Бананы,Вкусняшка,7000,2
Трамвай,2019-10-18,55421577,Яблоки,Еда,6550,3
Трамвай,2019-10-18,55421577,Бумага туалетная,Дом,7000,3
Диски,2019-10-18,291194477,Яблоки,Еда,6550,2
Диски,2019-10-18,291194477,Сосиски молочные,Еда,20000,3
Диски,2019-10-18,291194477,Черешня,Вкусняшки,15000,1
Диски,2019-10-18,291194477,Яблоки,Еда,6550,2
Диски,2019-10-18,291194477,Яйца,Еда,5950,1
Тупичок,2019-10-19,480218447,Черешня,Вкусняшки,15000,2
Тупичок,2019-10-19,480218447,Бумага туалетная,Дом,7000,2
Тупичок,2019-10-19,480218447,Бумага,Работа,7750,3
Тупичок,2019-10-19,480218447,Хлеб,Еда,7500,2
Тупичок,2019-10-19,480218447,Бананы,Вкусняшка,7000,3
Тупичок,2019-10-19,480218447,Мусорные пакеты,Дом,9050,2
Тупичок,2019-10-19,480218447,Молочный шоколад,Вкусняшка,6900,2
Тупичок,2019-10-19,480218447,Яйца,Еда,5950,3
Диски,2019-10-19,963455499,Гвозди,Дом,5000,3
Диски,2019-10-19,963455499,Сосиски молочные,Еда,20000,3
Диски,2019-10-19,963455499,Бананы,Вкусняшка,7000,2
Диски,2019-10-19,963455499,Молочный шоколад,Вкусняшка,6900,2
Диски,2019-10-19,963455499,Бананы,Вкусняшка,7000,2
Диски,2019-10-19,963455499,Хлеб,Еда,7500,3
Диски,2019-10-19,963455499,Хлеб,Еда,7500,2
Диски,2019-10-19,963455499,Хлеб,Еда,7500,1
Мячик,2019-10-19,43603845,Хлеб,Еда,7500,3
Мячик,2019-10-19,43603845,Черешня,Вкусняшки,15000,2
Мячик,2019-10-19,43603845,Молочный шоколад,Вкусняшка,6900,3
Мячик,2019-10-19,43603845,Бананы,Вкусняшка,7000,3
Мячик,2019-10-19,43603845,Мусорные пакеты,Дом,9050,3
Мячик,2019-10-19,43603845,Сосиски молочные,Еда,20000,3
Мячик,2019-10-19,43603845,Хлеб,Еда,7500,3
Мячик,2019-10-19,43603845,Бананы,Вкусняшка,7000,1
Мячик,2019-10-21,598941464,Сосиски молочные,Еда,20000,1
Мячик,2019-10-21,598941464,Чернила,Работа,2200,3
Мячик,2019-10-21,598941464,Гвозди,Дом,5000,2
Мячик,2019-10-21,598941464,Черешня,Вкусняшки,15000,2
Мячик,2019-10-21,598941464,Молоко,Еда,6700,3
Мячик,2019-10-21,598941464,Яблоки,Еда,6550,1
Тупичок,2019-10-21,530541903,Сосиски молочные,Еда,20000,2
Тупичок,2019-10-21,530541903,Яблоки,Еда,6550,1
Тупичок,2019-10-21,530541903,Бумага туалетная,Дом,7000,2
Тупичок,2019-10-21,530541903,Яблоки,Еда,6550,2
Диски,2019-10-21,338204375,Бумага,Работа,7750,3
Диски,2019-10-21,338204375,Гвозди,Дом,5000,3
Диски,2019-10-21,338204375,Яйца,Еда,5950,1
Диски,2019-10-21,338204375,Яблоки,Еда,6550,1
Диски,2019-10-21,338204375,Яйца,Еда,5950,1
Диски,2019-10-21,338204375,Бумага туалетная,Дом,7000,3
Диски,2019-10-21,338204375,Яблоки,Еда,6550,3
Диски,2019-10-21,338204375,Бумага туалетная,Дом,7000,3
Диски,2019-10-21,338204375,Хлеб,Еда,7500,3
Диски,2019-10-21,338204375,Гвозди,Дом,5000,2
Четвёрочка,2019-10-21,280739679,Мусорные пакеты,Дом,9050,1
Четвёрочка,2019-10-21,280739679,Чернила,Работа,2200,2
Четвёрочка,2019-10-21,280739679,Сосиски молочные,Еда,20000,1
Четвёрочка,2019-10-21,280739679,Мусорные пакеты,Дом,9050,2
Четвёрочка,2019-10-21,280739679,Яблоки,Еда,6550,1
Диски,2019-10-22,561174838,Гвозди,Дом,5000,2
Диски,2019-10-22,561174838,Хлеб,Еда,7500,3
Диски,2019-10-22,561174838,Чернила,Работа,2200,3
Диски,2019-10-22,561174838,Яблоки,Еда,6550,3
Диски,2019-10-22,561174838,Яблоки,Еда,6550,2
Диски,2019-10-22,561174838,Хлеб,Еда,7500,1
Трамвай,2019-10-22,629836233,Гвозди,Дом,5000,2
Трамвай,2019-10-22,629836233,Молоко,Еда,6700,2
Трамвай,2019-10-22,629836233,Бумага туалетная,Дом,7000,1
Трамвай,2019-10-22,629836233,Гвозди,Дом,5000,3
Трамвай,2019-10-22,629836233,Бумага туалетная,Дом,7000,2
Трамвай,2019-10-22,629836233,Яйца,Еда,5950,2
Трамвай,2019-10-22,629836233,Яйца,Еда,5950,1
Трамвай,2019-10-22,629836233,Гвозди,Дом,5000,2
Трамвай,2019-10-23,107486705,Чернила,Работа,2200,1
Трамвай,2019-10-23,107486705,Мусорные пакеты,Дом,9050,3
Диски,2019-10-23,944934306,Молочный шоколад,Вкусняшка,6900,1
Диски,2019-10-23,944934306,Молочный шоколад,Вкусняшка,6900,3
Диски,2019-10-23,944934306,Бумага,Работа,7750,2
Диски,2019-10-23,944934306,Бумага туалетная,Дом,7000,1
Диски,2019-10-23,944934306,Молочный шоколад,Вкусняшка,6900,3
Диски,2019-10-23,944934306,Яйца,Еда,5950,3
Диски,2019-10-23,944934306,Молочный шоколад,Вкусняшка,6900,1
Диски,2019-10-23,944934306,Гвозди,Дом,5000,2
Диски,2019-10-23,944934306,Сосиски молочные,Еда,20000,3
Трамвай,2019-10-23,716677398,Чернила,Работа,2200,3
Трамвай,2019-10-23,716677398,Бананы,Вкусняшка,7000,1
Тупичок,2019-10-24,937675159,Черешня,Вкусняшки,15000,2
Тупичок,2019-10-24,937675159,Чернила,Работа,2200,3
Тупичок,2019-10-24,937675159,Мусорные пакеты,Дом,9050,2
Тупичок,2019-10-24,937675159,Сосиски молочные,Еда,20000,3
Тупичок,2019-10-24,937675159,Гвозди,Дом,5000,1
Тупичок,2019-10-24,937675159,Сосиски молочные,Еда,20000,1
Тупичок,2019-10-24,937675159,Хлеб,Еда,7500,2
Тупичок,2019-10-24,937675159,Бумага туалетная,Дом,7000,1
Трамвай,2019-10-24,178129949,Бумага,Работа,7750,2
Трамвай,2019-10-24,178129949,Сосиски молочные,Еда,20000,1
Трамвай,2019-10-24,178129949,Чернила,Работа,2200,2
Трамвай,2019-10-24,178129949,Сосиски молочные,Еда,20000,2
Трамвай,2019-10-24,178129949,Бананы,Вкусняшка,7000,3
